property_name,property_id,breadcrumbs,price,img,description,seller_name,location,property_type,bathroom,bedrooms
2 BHK FURNISHED FLAT FOR RENT NEAR BEACH,1693023358,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Calicut Beach']","{'amount': '25,000', 'currency': '₹'}",,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Calicut Beach, Kozhikode, Kerala",Apartments,2,2
2 BHK SEMI FURNISHED FLAT FOR RENT NEAR  GOVINDHAPURAM,1696133800,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Govindapuram']","{'amount': '13,500', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/l99wrubwc7bj-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Govindapuram, Kozhikode, Kerala",Apartments,2,2
3 bhk semifurnished flat for rent at calicut,1689893228,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Eranjipalam']","{'amount': '28,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/nojig16ftp5f-IN/image;s=850x0,Looking for SemiFurnished Flat for Rent at Calicut,Big Deals,"Eranjipalam, Kozhikode, Kerala",Apartments,3,3
Karaparamb 4bhk house for rent,1690015315,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Karaparamba']","{'amount': '23,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/i332j6xj4n023-IN/image;s=850x0,Karaparamba 4bhk house,Vijesh,"Karaparamba, Kozhikode, Kerala",Houses & Villas,4,4
Chevarambalam  2bhk house rent,1696125922,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Chevarambalam']","{'amount': '11,500', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/tq0fq1mcaq06-IN/image;s=850x0,Chevarambalam 2bhk house,Vijesh,"Chevarambalam, Kozhikode, Kerala",Houses & Villas,2,2
3 BHK FURNISHED FLAT FOR RENT NEAR  PALAYAM,1694527966,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Mele Palayam']","{'amount': '25,000', 'currency': '₹'}",,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Mele Palayam, Kozhikode, Kerala",Apartments,3,3
3 BHK SEMI FURNISHED FLAT FOR RENT NEAR NADAKKAVE,1692509337,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Nadakkavu']","{'amount': '30,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/tvq0hjp0ic5f3-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Nadakkavu, Kozhikode, Kerala",Apartments,3,3
3 BHK FURNISHED FLAT FOR RENT NEAR HILITE MALL,1692507544,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad']","{'amount': '30,000', 'currency': '₹'}",,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Thondayad, Kozhikode, Kerala",Apartments,3,3
2BHK BRANDED FLAT FOR RENT NEAR POTTAMMAL,1694525413,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Pottammal']","{'amount': '16,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/qusw66aji7n91-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Pottammal, Kozhikode, Kerala",Apartments,1,2
2 BHK BRANDED FLAT FOR RENT NEAR KARAPARAMBE,1694524217,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Karaparamba']","{'amount': '20,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/a6cfyslwnvg02-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Karaparamba, Kozhikode, Kerala",Apartments,2,2
"2BHK RESIDENTIAL FLAT FOR RENT @ CHEROOTY ROAD, CALICUT",1695242970,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Cherooty Road']","{'amount': '27,000', 'currency': '₹'}",,THOMAS ASSOCIATES REALTORS CALICUT,THOMAS ASSOCIATES REALTORS,"Cherooty Road, Kozhikode, Kerala",Apartments,2,2
"Groundfloor property 2bhk, sitout, work area, 150 meter from bus stop",1692992072,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Athanikkal']","{'amount': '10,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/fvudnay16rs13-IN/image;s=850x0,"Groundfloor property 2bhk, sitout, work area, 150 meter from bus stop, 1 bedroom has attached europen toilet. Common 1european and 1 indian toilet. Floor is tiled. Well and corporation water available. Hatch back car access with ample parking. No water logging during rain and no water scarcity during summer.",Lilly,"Athanikkal, Kozhikode, Kerala",Houses & Villas,3,2
"3BHK ,Furnished,",1691652132,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thiruvannur']","{'amount': '18,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/qvakf7e6m9ly1-IN/image;s=850x0,"Rent for 11 months.,",Usha ,"Thiruvannur, Kozhikode, Kerala",Apartments,3,3
2 BHK SEMI FURNISHED FLAT FOR RENT NEAR NADAKKAVE,1694523714,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Nadakkavu']","{'amount': '14,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/thxa6lm5jqme1-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Nadakkavu, Kozhikode, Kerala",Apartments,2,2
"3 bhk Flat For Rent At Karaparamba , KOZHIKODE",1691530517,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Karaparamba']","{'amount': '27,700', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/odrnyprwuxzl1-IN/image;s=850x0,Looking for SemiFurnished Flat for Rent at Calicut,Big Deals,"Karaparamba, Kozhikode, Kerala",Apartments,3,3
3 BHK FURNISHED  FLAT FOR RENT  NEAR CHRISTIAN COLLEGE,1688188026,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Christian College']","{'amount': '22,500', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/vg3fg97cebvk-IN/image;s=850x0,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Christian College, Kozhikode, Kerala",Apartments,3,3
3 BHK FURNISHED FLAT NEAR NADAKKAVE,1688177104,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Nadakkavu']","{'amount': '23,000', 'currency': '₹'}",,Branded flat for rent & sale available in Calicut,PROPERTY HUB,"Nadakkavu, Kozhikode, Kerala",Apartments,3,3
Near chungam KSEB,1696096570,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in West Hill Chungam']","{'amount': '7,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/k5pzlrwrgkan1-IN/image;s=850x0,Advance 50000,Barnadin Shibu,"West Hill Chungam, Kozhikode, Kerala",Houses & Villas,1,1
House for rent in Poozhiyil road,1696093068,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in West Hill Chungam']","{'amount': '20,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/kx5ilmfucdyi-IN/image;s=850x0,Available for rent . Spacious 3 bedroom house in westhill Poozhiyil road  near Kozhikode beach .,Shanavas Ahmed,"West Hill Chungam, Kozhikode, Kerala",Houses & Villas,4,3
2 BHK Apartment near Cyberpark and HiLite Mall,1696077658,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad']","{'amount': '15,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/n1dhf7t9m1833-IN/image;s=850x0,"2 Bedroom Apartment, Second Floor for Rent. Near to Major Hospital and Mall.300 mtr from NH Bypass.",Flatbox Properties,"Thondayad, Kozhikode, Kerala",Apartments,2,2
പുതിയ വീടാണ് കേട്ടോ പൊന്നുപോലെ നോക്കണേ,1671262457,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad']","{'amount': '21,000', 'currency': '₹'}",,അതെ നിങ്ങൾ വാടകയ്ക്ക് ഏതു വീട്ടിൽ കയറി കഴിഞ്ഞാലും ഞങ്ങൾക്ക് ഇത് മാത്രമേ പറയാനുള്ളൂ,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3
വാടകവീട് തപ്പിയുള്ള അലച്ചിൽ നിർത്താം,1665197107,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad']","{'amount': '19,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/tikb84c8ur3s2-IN/image;s=850x0,കോഴിക്കോട് നഗരത്തിൽ ഒരുപാട് വീടാണ് നിങ്ങൾ നോക്കുന്നതെങ്കിൽ ആ ഒരു അലച്ചിൽ ഇനി നിർത്താം. We have options,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3
വീട് നന്നായി നോക്കാമോ ? എന്നാൽ വിലപേശ്ശി എടുക്കാം,1634434893,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad']","{'amount': '23,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/2w1vuhqkqp7m1-IN/image;s=850x0,കൊറോണ സമയത്തു വീട്ടിലിരുന്നു വാടക  വീട് തിരയാം . Brokees ലൂടെ,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,4,4
പുത്തൻ വീട്ടിൽ ആദ്യ താമസക്കാരാവണോ ?,1634432458,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad']","{'amount': '23,000', 'currency': '₹'}",,Looking for a rental option in calicut city ? ,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,4,4
പുത്തൻ വീട്ടിൽ ആദ്യ താമസക്കാരാവാം,1644456527,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad']","{'amount': '20,000', 'currency': '₹'}",,Looking for a rental property in Calicut?,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,3,3
കൊറോണ അല്ലേ ചേട്ടാ വാടക ഒക്കെ adjust ചെയ്യാം,1634928919,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad']","{'amount': '20,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/hl3pj0o2ssii1-IN/image;s=850x0,Your search for a rental Home ends here. ,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,4,4
"ഫ്ലാറ്റ്, അത് മനസിന് ഇണങ്ങുന്നതാവട്ടെ",1634595143,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad']","{'amount': '19,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/ujy1mp8rb6nb2-IN/image;s=850x0,വാടക ഫ്ലാറ്റും തപ്പി ഇങ്ങനെ ദിവസവും കുടുംബവുമൊത്ത് അലയാം എന്നാണോ ചേട്ടാ വിചാരിച്ചിരിക്കുന്നെ ?  അപകടമാണ് .  കൊറോണ അതീവ അപകടകാരിയും .,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,2,2
വീട്ടുകാരാവാൻ കൊതിപ്പിക്കും വീടുകൾ നോക്കാം,1634471814,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad']","{'amount': '23,000', 'currency': '₹'}",,Looking for a good rental House in city ? ,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,4,4
വീട്ടുകാരാക്കാൻ കൊതിപ്പിക്കും വീടുകൾ നോക്കാം,1634218056,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad']","{'amount': '21,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/bz13cs8fje003-IN/image;s=850x0,Looking for rental option in city . ??,Brokees,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,4
"1bhk ഫ്ലാറ്റ് നോക്കിയാലോ ?, Brokees",1627675716,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad']","{'amount': '17,000', 'currency': '₹'}",https://apollo-singapore.akamaized.net:443/v1/files/9bzoxl283c0l3-IN/image;s=850x0,Looking for an Rental Flat in kozhikode? ,Brokees,"Thondayad, Kozhikode, Kerala",Apartments,1,1
